,,,,,,,,,,,,,,,,,,,,,,,,,,
,TVBOX Inventário,,,,,PROJETO,,ALÉM DO HORIZONTE,,,CAMPUS,GOIÂNIA,,HOJE,06/04/2026,,,,,,,,,,,
TVBOX,,,,,,ESPECIFICAÇÕES,,,,,DESCARACTERIZAÇÃO,,,,,,,,,,,,,,,
PROCESSADOR,Modp.,MAC,MARCA,,Mod.,RAM,HD,AUDIO,WIFI,BLUETOOTH,Status,Última verificação,Observações,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
RockChip,RK3228A,D896E07B12DD,BTV,,B11,,,,,,Em teste,02.12.2025,,,,,,,,,,,,,,
RockChip,RK3228A,A8190AF55500,MXQ,,PRO4K 5G,,,,,,Com defeito,14.1.2026,Não liga,,,,,,,STATUS DAS TAREFAS,,,,PROCESSADORES,,
RockChip,RK3228A,A8190A1CB23B,MXQ,,PRO4K 5G,1 GB,8 GB,✔,,,Concluída,2.12.2025,ARMBIAN,,,,,,,A fazer...,,9,,Amlogic,,15
RockChip,RK3228A,A82009AB1D7C,MXQ,,PRO4K 5G,,,,,,Com defeito,26.1.2026,Não liga,,,,,,,Em teste,,4,,Allwinner,,9
Amlogic,S905X3,EC2CBB81A323,BTV,,B11,,,,,,Em teste,28.11.2025,Não inicia apos instalacao,,,,,,,Concluída,,49,,RockChip,,42
Amlogic,S905X3,EC2CBAB101EB,BTV,,B11,1 GB,16 GB,,✔,,Concluída,14.11.2025,ARMBIAN,,,,,,,Com defeito,,29,,TOTAL,,66
Amlogic,S905X3,EC2CBB819CE8,BTV,,B11,,,,,,Concluída,14.11.2025,ARMBIAN,,,,,,,TOTAL,,91,,,,
Amlogic,S905X3,EC2CBB81A0D4,BTV,,B11,,,,,,Concluída,2.12.2025,ARMBIAN,,,,,,,,,,,,,
Amlogic,S905X3,EC2CBAB12E41,BTV,,B11,1 GB,16 GB,✔,✔,✔,Concluída,03.11.2025,EDUCABOX,,,,,,,,,,,,,
Amlogic,S905X3,EC2CBAB2456E,BTV,,B11,1 GB,16 GB,✔,✔,✔,Concluída,28.11.2025,ARMBIAM SERVIDOR,,,,,,,,,,,,,
Amlogic,S905X3,EC2CBAB2A4E5,BTV,,B11,,,,,,Com defeito,10.11.2025,Após instalação ARMBIAN não ativa,,,,,,,,,,,,,
Amlogic,S905X3,EC2CBAB24945,BTV,,B11,1 GB,16 GB,✔,✔,✔,Concluída,11.11.2025,EDUCABOX,,,,,,,,,,,,,
Amlogic,S905X3,EC2CBB8193F3,BTV,,B11,,,,,,Concluída,10.11.2025,ARMBIAM,,,,,,,,,,,,,
Amlogic,S905X3,EC2CBB818FAD,BTV,,B11,1 GB,16 GB,✔,✔,✔,Concluída,2.12.2025,ARMBIAM,,,,,,,,,,,,,
Amlogic,S905X2,EC2EABB11762,BTV,,E10,2 GB,8 GB,,,,Concluída,14.11.2025,"Inicia o boot, mas ao copiar para memória Tvbox apresenta erro",,,,,,,,,,,,,
Amlogic,S905X2,EC2EABB1209A,BTV,,E10,2 GB,8 GB,✔,✔,✔,Concluída,14.11.2025,,,,,,,,,,,,,,
Amlogic,S905X,EC2CA9A1CA27,BTV,,BX,,,,,,Em teste,2.12.2025,Não inicou boot,,,,,,,,,,,,,
Amlogic,S905X3,EC2CBAB29DFD,BTV,,B11,1 GB,16 GB,✔,✔,✔,Concluída,7.11.2025,ARMBIAN,,,,,,,,,,,,,
Amlogic,S905X3,EC2CBAB25149,BTV,,B11,1 GB,16 GB,,,,Concluída,26.11.2025,,,,,,,,,,,,,,
Allwinner,H3,A8200CB419E,MXQ,,PRO4K 5G,,,,,,Em teste,2.12.2025,"Realizou boot, funciona com pendrive, ainda não é possível instalar ARMDebian",,,,,,,,,,,,,
Allwinner,H3,A82102B8B0EA,MXQ,,PRO4K 5G,,,,,,A fazer...,2.12.2025,,,,,,,,,,,,,,
Allwinner,H3,A8200CB41995,MXQ,,PRO4K 5G,,,,,,A fazer...,2.12.2025,,,,,,,,,,,,,,
Allwinner,H313/H616,A82109F37FD4,MXQ,,PRO4K 5G,,,,,,A fazer...,14.1.2026,,,,,,,,,,,,,,
Não verificado,---,A8190AF554F9,MXQ,,PRO4K 5G,,,,,,Com defeito,14.1.2026,Não liga,,,,,,,,,,,,,
Não verificado,---,58EC08E22361,MXQ,,PRO4K,,,,,,Com defeito,14.1.2026,Não liga,,,,,,,,,,,,,
Não verificado,---,58EC08E222FF,MXQ,,PRO4K,,,,,,Com defeito,14.1.2026,Não liga,,,,,,,,,,,,,
Não verificado,---,58EC08E221BE,MXQ,,PRO4K,,,,,,Com defeito,14.1.2026,Não liga,,,,,,,,,,,,,
Não verificado,---,58EC08E2239B,MXQ,,PRO4K,,,,,,Concluída,14.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
Não verificado,---,58EC08E222FD,MXQ,,PRO4K,,,,,,Concluída,14.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
Não verificado,---,58EC08E2227F,MXQ,,PRO4K,,,,,,Concluída,14.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
Não verificado,---,58EC08E22376,MXQ,,PRO4K,,,,,,Concluída,15.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
Allwinner,H313/H616,AB2109F34424,MXQ,,PRO4K 5G,,,,,,A fazer...,15.1.2026,,,,,,,,,,,,,,
Não verificado,---,58EC08E223CC,MXQ,,PRO4K,,,,,,Concluída,15.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
Allwinner,H313/H616,58EC08E2235A,MXQ,,PRO4K,,,,,,A fazer...,15.1.2026,,,,,,,,,,,,,,
Não verificado,---,58EC08E22373,MXQ,,PRO4K,,,,,,Com defeito,15.1.2026,,,,,,,,,,,,,,
Não verificado,---,58EC08E22371,MXQ,,PRO4K,,,,,,Com defeito,15.1.2026,,,,,,,,,,,,,,
Allwinner,H313/H616,A82109F16535,MXQ,,PRO4K 5G,,,,,,A fazer...,15.1.2026,,,,,,,,,,,,,,
RockChip,,58EC08E22403,MXQ,,PRO4K,,,,,,Com defeito,15.1.2026,,,,,,,,,,,,,,
RockChip,,58EC08E223DF,MXQ,,PRO4K,,,,,,Concluída,15.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
Não verificado,,58EC08E22359,MXQ,,PRO4K,,,,,,Concluída,15.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EC08E22307,MXQ,,PRO4K,,,,,,Com defeito,19.01.2026,Não liga,,,,,,,,,,,,,
RockChip,,58EC08E223F2,MXQ,,PRO4K,,,,,,Concluída,21.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EC08E22318,MXQ,,PRO4K,,,,,,Com defeito,21.1.2026,Não liga,,,,,,,,,,,,,
RockChip,RK3229,58EC08E22352,MXQ,,PRO4K,,,,,,Com defeito,21.1.2026,Não liga,,,,,,,,,,,,,
RockChip,,58EC08E223A5,MXQ,,PRO4K,,,,,,Concluída,21.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EC08E221A5,MXQ,,PRO4K,,,,,,Concluída,21.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EC08E22372,MXQ,,PRO4K,,,,,,Concluída,21.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EC08E223CB,MXQ,,PRO4K,,,,,,Concluída,21.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EC08E2237C,MXQ,,PRO4K,,,,,,Com defeito,21.1.2026,Não liga,,,,,,,,,,,,,
RockChip,,58EC08E22388,MXQ,,PRO4K,,,,,,Concluída,21.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EC08E22357,MXQ,,PRO4K,,,,,,Com defeito,21.1.2026,Não liga,,,,,,,,,,,,,
RockChip,,58EC08E2236E,MXQ,,PRO4K,,,,,,Com defeito,21.1.2026,Não liga,,,,,,,,,,,,,
RockChip,,58EC08E221F0,MXQ,,PRO4K,,,,,,Concluída,21.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EC08E223B6,MXQ,,PRO4K,,,,,,Concluída,21.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EC08E22189,MXQ,,PRO4K,,,,,,Concluída,21.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EC08E2240E,MXQ,,PRO4K,,,,,,Concluída,21.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EC08E2239C,MXQ,,PRO4K,,,,,,Concluída,21.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EC08E21444,MX9,,4K,,,,,,Com defeito,21.1.2026,Não liga,,,,,,,,,,,,,
RockChip,,58EC08E212A7,MX9,,4K,,,,,,Com defeito,21.1.2026,Não liga,,,,,,,,,,,,,
RockChip,,58EC08E214C2,MX9,,4K,,,,,,A fazer...,21.1.2026,,,,,,,,,,,,,,
Allwinner,H313/H616,A82109F3D5B4,MXQ,,PRO4K 5G,,,,,,A fazer...,21.1.2026,,,,,,,,,,,,,,
RockChip,,58EC08E21770,MX9,,4K,,,,,,Concluída,21.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EC08E22478,MXQ,,PRO4K,,,,,,Concluída,21.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EC08E22399,MXQ,,PRO4K,,,,,,Concluída,21.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
Allwinner,H313/616,A82109F37F68,MXQ,,PRO4K 5G,,,,,,A fazer...,21.1.2026,,,,,,,,,,,,,,
,,58EB71E285FB,TX9,,,,,,,,Concluída,22.1.2026,Armbian,,,,,,,,,,,,,
,,58EB71E286E3,TX9,,,,,,,,Concluída,22.1.2026,Armbian,,,,,,,,,,,,,
,,58EB71E2A983,TX2,,,,,,,,Concluída,22.1.2026,Armbian,,,,,,,,,,,,,
,,58EB71E272F3,TX2,,,,,,,,Com defeito,22.1.2026,Não liga,,,,,,,,,,,,,
,,58EB71E286CF,TX9,,,,,,,,Concluída,22.1.2026,Armbian,,,,,,,,,,,,,
RockChip,,58EB71E2A9B2,TX2,,,,,,,,Com defeito,22.1.2026,Não liga,,,,,,,,,,,,,
,,58EB71E2770A,TX2,,,,,,,,Concluída,22.1.2026,Armbian,,,,,,,,,,,,,
,,58EB71E286A0,TX9,,,,,,,,Concluída,22.1.2026,Armbian,,,,,,,,,,,,,
,,58EB71E272F4,TX2,,,,,,,,Com defeito,22.1.2026,Não liga,,,,,,,,,,,,,
RockChip,,58EB71E2728C,TX2,,,,,,,,Com defeito,22.1.2026,Não liga,,,,,,,,,,,,,
RockChip,,58EB71E2A99A,TX2,,,,,,,,Concluída,22.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EB71E2729D,TX2,,,,,,,,Com defeito,22.1.2026,Não liga,,,,,,,,,,,,,
RockChip,,58EB71E2A999,TX2,,,,,,,,Com defeito,22.1.2026,Não liga,,,,,,,,,,,,,
,,58EB71E28637,TX9,,,,,,,,Concluída,22.1.2026,Armbian,,,,,,,,,,,,,
RockChip,,58EB71E27710,TX2,,,,,,,,Concluída,22.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EB71E27283,TX2,,,,,,,,Com defeito,22.1.2026,Não liga,,,,,,,,,,,,,
,,58EB71E27709,TX2,,,,,,,,Concluída,22.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
RockChip,,58EB71E272EE,TX2,,,,,,,,Concluída,22.1.2026,Triangulo Mineiro,,,,,,,,,,,,,
,,04819070B308,TX6,,,,,,,,Concluída,22.1.2026,Armbian,,,,,,,,,,,,,
RockChip,,58EB71E272AF,TX2,,,,,,,,Com defeito,22.1.2026,Não liga,,,,,,,,,,,,,
RockChip,,58EB71E272F2,TX2,,,,,,,,Com defeito,22.1.2026,Não liga,,,,,,,,,,,,,
RockChip,,58EB71E27718,TX2,,,,,,,,Com defeito,22.1.2026,Não liga,,,,,,,,,,,,,
,,04819070B28A,TX6,,,,,,,,Com defeito,22.1.2026,Armbian,,,,,,,,,,,,,
RockChip,,04819070B30B,TX6,,,,,,,,Concluída,22.1.2026,Armbian,,,,,,,,,,,,,
,,04819070B2CB,TX6,,,,,,,,Concluída,22.1.2026,Armbian,,,,,,,,,,,,,
RockChip,,04819070A923,TX6,,,,,,,,Concluída,22.1.2026,Armbian,,,,,,,,,,,,,